age,sex,education,income,emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_status
23.0,1,2,77105.0,2,6000.0,13.22,0.08,2.0,653,0,0,0,0,1,0,0,0,0,0,1,0
23.0,1,0,110351.0,0,1000.0,11.71,0.01,3.0,594,1,1,0,0,0,0,1,0,0,0,0,0
40.0,1,1,42338.0,15,10000.0,11.01,0.24,12.0,624,1,1,0,0,0,0,0,0,1,0,0,0
22.0,0,2,73148.0,0,15000.0,14.26,0.21,4.0,617,1,0,0,0,1,0,1,0,0,0,0,0
34.0,0,2,61109.0,10,2400.0,11.01,0.04,9.0,661,0,0,0,0,1,0,0,0,0,0,1,0
24.0,1,1,99473.0,5,7000.0,10.0,0.07,4.0,648,1,0,0,0,1,0,1,0,0,0,0,0
22.0,0,1,97302.0,0,5000.0,13.15,0.05,2.0,611,1,1,0,0,0,0,0,0,0,0,1,0
27.0,1,3,87477.0,3,14000.0,12.42,0.16,10.0,581,1,1,0,0,0,0,0,0,0,1,0,0
36.0,0,1,193014.0,15,24000.0,12.7,0.12,11.0,660,0,0,0,1,0,0,0,0,0,0,1,0
35.0,1,2,110229.0,13,7947.0,9.71,0.07,9.0,657,1,0,0,0,1,0,0,0,1,0,0,0
28.0,0,2,84909.0,5,20000.0,12.18,0.24,6.0,672,1,1,0,0,0,0,0,1,0,0,0,0
25.0,0,1,127207.0,2,4800.0,15.23,0.04,2.0,590,1,1,0,0,0,0,0,1,0,0,0,0
28.0,1,1,139998.0,3,12000.0,13.25,0.09,6.0,668,0,1,0,0,0,0,0,0,0,1,0,0
25.0,1,3,78809.0,1,7000.0,11.66,0.09,3.0,615,1,0,0,1,0,0,0,1,0,0,0,0
35.0,1,1,55030.0,12,1000.0,11.01,0.02,10.0,651,1,1,0,0,0,0,0,0,0,0,1,0
25.0,0,1,29829.0,4,2000.0,16.59,0.07,2.0,612,1,0,0,0,1,0,0,0,1,0,0,0
21.0,0,2,31450.0,0,6000.0,11.01,0.19,4.0,587,1,0,0,0,1,1,0,0,0,0,0,0
25.0,1,3,78691.0,0,12000.0,7.9,0.15,4.0,606,0,1,0,0,0,0,0,0,0,0,1,0
22.0,0,2,72687.0,0,9000.0,5.99,0.12,4.0,630,1,0,0,0,1,0,0,0,0,1,0,0
25.0,1,2,36653.0,3,8000.0,6.92,0.22,3.0,670,1,1,0,0,0,0,0,1,0,0,0,0
37.0,1,0,40934.0,13,8400.0,13.92,0.21,11.0,522,1,0,0,0,1,1,0,0,0,0,0,0
30.0,0,1,43012.0,8,2700.0,12.21,0.06,5.0,662,0,0,0,0,1,1,0,0,0,0,0,0
31.0,0,2,42773.0,10,2000.0,11.01,0.05,6.0,680,1,1,0,0,0,0,0,0,1,0,0,0
37.0,0,1,37955.0,18,4800.0,11.49,0.13,16.0,664,0,0,0,0,1,0,0,0,0,0,1,0
30.0,1,1,87117.0,9,13002.0,6.96,0.15,4.0,679,0,1,0,0,0,0,0,0,1,0,0,0
23.0,0,2,84270.0,0,4000.0,7.74,0.05,3.0,598,0,0,0,0,1,1,0,0,0,0,0,0
29.0,1,1,57554.0,7,5000.0,10.62,0.09,7.0,615,1,0,0,0,1,0,0,0,0,1,0,0
25.0,0,3,76714.0,6,20000.0,8.49,0.26,2.0,683,1,1,0,0,0,0,0,1,0,0,0,0
31.0,1,2,91181.0,10,1200.0,6.54,0.01,5.0,566,1,0,0,0,1,0,0,0,0,1,0,0
23.0,1,0,44470.0,2,10000.0,8.59,0.22,2.0,643,1,0,0,0,1,0,1,0,0,0,0,0
